expression,reading,meaning,tags,guid
現像,げんぞう,현상(필름),JLPT_1 JLPT,v9bha+<cj}
原則,げんそく,"원칙, 일반 규칙",JLPT_1 JLPT,dVC[`t${#`
見地,けんち,관점,JLPT_1 JLPT,wk)a!>hpi:
現地,げんち,"실제 장소, 현지",JLPT_1 JLPT,G$>SwAUY5:
限定,げんてい,"제한, 제한",JLPT_1 JLPT,o%F/8(![P3
原点,げんてん,"원점(좌표, 시작점)",JLPT_1 JLPT,bXdt~Sz`DP
原典,げんてん,"원본, 출처",JLPT_1 JLPT,EB`MVeV|+3
原爆,げんばく,원자폭탄,JLPT_1 JLPT,qVu!~xa[nC
原文,げんぶん,"본문, 원본",JLPT_1 JLPT,w>egRzs&//
厳密,げんみつ,"엄격한, 가까운",JLPT_1 JLPT,k<}V}HBo:Y
賢明,けんめい,"지혜, 총명, 신중함",JLPT_1 JLPT,rF6VPIq@Kt
倹約,けんやく,"절약, 절약, 절약",JLPT_1 JLPT,G)qGN7wCPF
原油,げんゆ,원유,JLPT_1 JLPT,mqzQ4phBV%
兼用,けんよう,"다용도, 복합용",JLPT_1 JLPT,Q[mY;6;Blm
権力,けんりょく,"(정치적) 권력, 권위, 영향력",JLPT_1 JLPT,zLBVbQJht)
言論,げんろん,"토론, 연설",JLPT_1 JLPT,j=]X!_Sn:<
故～,こ～,"사망하다, 늦다",JLPT_1 JLPT,l<k2Hl<qF:
語彙,ごい,"어휘, 용어집",JLPT_1 JLPT,dg-x#L-S>s
恋する,こいする,"사랑에 빠지다, 사랑하다",JLPT_1 JLPT,x>yH@(e$>B
甲,こう,순위 1위; 껍데기,JLPT_1 JLPT,gr(P$T&hE)
～光,～こう,빛,JLPT_1 JLPT,dR[Ye:I0gD
好意,こうい,"선의, 호의, 예의",JLPT_1 JLPT,f{|~G`MfSc
行為,こうい,"행위, 행위, 행실",JLPT_1 JLPT,"x,?`vew_Y^"
合意,ごうい,"동의, 동의, 상호 이해",JLPT_1 JLPT,u5DPHkD^67
工学,こうがく,공학,JLPT_1 JLPT,nLBSX>%S~{
抗議,こうぎ,"항의, 반대",JLPT_1 JLPT,N%yl^:99*x
