expression,reading,meaning,tags,guid,example_jp,example_reading_hiragana,example_ko
一概に,いちがいに,"일률적으로, 무조건",JLPT_1 JLPT,1jJlad#n7C,一概に高価な品が優れているとは言えない。,いちがいにこうかなものがすぐれているとはいえない。,비싼 물건이 무조건 뛰어나다고는 할 수 없다.
偽り,いつわり,거짓,JLPT_1 JLPT,qOma$Zh#%6,彼の証言には偽りが一つもなかった。,かれのしょうげんにはいつわりがひとつもなかった。,그의 증언에는 거짓이 하나도 없었다.
挑む,いどむ,도전하다,JLPT_1 JLPT,Dp[)|u%xn-,若手選手が世界記録に挑んだ。,わかてせんしゅがせかいきろくにいどんだ。,젊은 선수가 세계 기록에 도전했다.
否めない,いなめない,부정할 수 없다,JLPT_1 JLPT,=+K;m8xe/(,今回の判断が遅すぎたことは否めない。,こんかいのはんだんがおそすぎたことはいなめない。,이번 판단이 너무 늦었다는 것은 부정할 수 없다.
戒める,いましめる,"경고하다, 제지하다",JLPT_1 JLPT,+9t7vbQ5GJ,父は私の軽率な行動を厳しく戒めた。,ちちはわたしのけいそつなこうどうをきびしくいましめた。,아버지는 나의 경솔한 행동을 엄하게 경고했다.
印象,いんしょう,인상,JLPT_1 JLPT,g[$mbs]^Q{,初対面では落ち着いた人という印象を受けた。,しょたいめんではおちついたひとといういんしょうをうけた。,첫 만남에서는 차분한 사람이라는 인상을 받았다.
訴える,うったえる,"호소하다, 소송하다",JLPT_1 JLPT,=)TAN3%JfR,住民は市に騒音対策を訴えた。,じゅうみんはしにそうおんたいさくをうったえた。,주민들은 시에 소음 대책을 호소했다.
促す,うながす,"재촉하다, 촉구하다",JLPT_1 JLPT,"?NCCb),>Q[",医師は患者に十分な休養を促した。,いしはかんじゃにじゅうぶんなきゅうようをうながした。,의사는 환자에게 충분한 휴식을 권고했다.
潤う,うるおう,"촉촉해지다, 혜택을 받다",JLPT_1 JLPT,"A2`Dk0,xc@",雨のおかげで乾いた畑が潤った。,あめのおかげでかわいたはたけがうるおった。,비 덕분에 메마른 밭이 촉촉해졌다.
潤す,うるおす,"축이다, 적시다, 윤택하게 하다",JLPT_1 JLPT,*qj>Aj/]uQ,乾燥した唇を保湿剤で潤した。,かんそうしたくちびるをほしつざいでうるおした。,건조한 입술을 보습제로 촉촉하게 했다.
栄養,えいよう,영양,JLPT_1 JLPT,b(q86fjJ/j,成長期の子供には十分な栄養が必要だ。,せいちょうきのこどもにはじゅうぶんなえいようがひつようだ。,성장기 아이에게는 충분한 영양이 필요하다.
閲覧,えつらん,열람,JLPT_1 JLPT,`4eF:r2&h9,この資料は館内でのみ閲覧できます。,このしりょうはかんないでのみえつらんできます。,이 자료는 관내에서만 열람할 수 있습니다.
円滑,えんかつ,원활함,JLPT_1 JLPT,"pDJl@,l%N6",司会者のおかげで会議が円滑に進んだ。,しかいしゃのおかげでかいぎがえんかつにすすんだ。,사회자 덕분에 회의가 원활하게 진행되었다.
演奏,えんそう,연주,JLPT_1 JLPT,&6lYRa%DfN,姉は結婚式でピアノを演奏した。,あねはけっこんしきでぴあのをえんそうした。,언니는 결혼식에서 피아노를 연주했다.
応募,おうぼ,응모,JLPT_1 JLPT,;wf%Cs5*HF,締め切りまでに写真コンテストへ応募した。,しめきりまでにしゃしんこんてすとへおうぼした。,마감 전에 사진 공모전에 응모했다.
大幅,おおはば,대폭적임,JLPT_1 JLPT,tYbjM+jZ0+,新制度で手続きが大幅に簡素化された。,しんせいどでてつづきがおおはばにかんそかされた。,새 제도로 절차가 대폭 간소화되었다.
丘,おか,언덕,JLPT_1 JLPT,"o{O,@4Bd&l",丘の上から港町を見下ろした。,おかのうえからみなとまちをみおろした。,언덕 위에서 항구 도시를 내려다보았다.
お菓子,おかし,과자,JLPT_1 JLPT,Xj8PXH2V%-,母が焼いたお菓子を友達に配った。,ははがやいたおかしをともだちにくばった。,어머니가 구운 과자를 친구들에게 나눠 주었다.
怠る,おこたる,"게을리하다, 방심하다",JLPT_1 JLPT,"jYq,v6!UzP",安全確認を怠ると大事故につながる。,あんぜんかくにんをおこたるとだいじこにつながる。,안전 확인을 게을리하면 큰 사고로 이어진다.
惜しむ,おしむ,"아까워하다, 애석해하다",JLPT_1 JLPT,OLuZl]U;($,監督は引退する名選手との別れを惜しんだ。,かんとくはいんたいするめいせんしゅとのわかれをおしんだ。,감독은 은퇴하는 명선수와의 이별을 아쉬워했다.
襲う,おそう,"덮치다, 습격하다",JLPT_1 JLPT,U3TrMxj>-l,激しい眠気が運転中の彼を襲った。,はげしいねむけがうんてんちゅうのかれをおそった。,심한 졸음이 운전 중인 그를 덮쳤다.
穏やか,おだやか,온화함,JLPT_1 JLPT,IA@q!R6GBV,波のない穏やかな海に船を出した。,なみのないおだやかなうみにふねをだした。,파도 없는 잔잔한 바다로 배를 띄웠다.
訪れる,おとずれる,방문하다,JLPT_1 JLPT,z{1gD`PEkY,春が訪れると庭の桜が一斉に咲く。,はるがおとずれるとにわのさくらがいっせいにさく。,봄이 찾아오면 정원의 벚꽃이 일제히 핀다.
衰える,おとろえる,쇠약해지다,JLPT_1 JLPT,]6)WJ1k7a8,年齢とともに足腰の力が衰えてきた。,ねんれいとともにあしこしのちからがおとろえてきた。,나이가 들면서 하체의 힘이 약해졌다.
脅かす,おびやかす,위협하다,JLPT_1 JLPT,rO-zDPi*Fg,外来種が島の生態系を脅かしている。,がいらいしゅがしまのせいたいけいをおびやかしている。,외래종이 섬의 생태계를 위협하고 있다.
表向き,おもてむき,표면상,JLPT_1 JLPT,"]0,2q^}r]p",二人は表向きは仲が良いように見える。,ふたりはおもてむきはなかがよいようにみえる。,두 사람은 겉으로는 사이가 좋아 보인다.
愚かな,おろかな,어리석은,JLPT_1 JLPT,<O^vrGr$_^,一時の感情で辞職するのは愚かな選択だ。,いっときのかんじょうでじしょくするのはおろかなせんたくだ。,한때의 감정으로 사직하는 것은 어리석은 선택이다.
恩恵,おんけい,은혜,JLPT_1 JLPT,HHRV0or2=*,私たちの暮らしは森林の恩恵を受けている。,わたしたちのくらしはしんりんのおんけいをうけている。,우리의 생활은 산림의 혜택을 받고 있다.
改革,かいかく,개혁,JLPT_1 JLPT,Q!2n:DZ;c#,政府は古い税制の改革に着手した。,せいふはふるいぜいせいのかいかくにちゃくしゅした。,정부는 낡은 세제 개혁에 착수했다.
貝殻,かいがら,조개껍데기,JLPT_1 JLPT,4JuO-U~C2y,浜辺で色鮮やかな貝殻を拾った。,はまべでいろあざやかなかいがらをひろった。,해변에서 알록달록한 조개껍데기를 주웠다.
海峡,かいきょう,해협,JLPT_1 JLPT,]>=F#iS^qS,船は狭い海峡をゆっくり通過した。,ふねはせまいかいきょうをゆっくりつうかした。,배는 좁은 해협을 천천히 통과했다.
回顧,かいこ,회고,JLPT_1 JLPT,n&%?o`dWt@,晩年の作品を回顧する展覧会が開かれた。,ばんねんのさくひんをかいこするてんらんかいがひらかれた。,말년의 작품을 회고하는 전시회가 열렸다.
介護,かいご,간호,JLPT_1 JLPT,.6BM7i1V)!,祖父の介護を家族で分担している。,そふのかいごをかぞくでぶんたんしている。,할아버지 간병을 가족이 분담하고 있다.
回収,かいしゅう,회수,JLPT_1 JLPT,"9,QFRnS2}&",店は欠陥のある商品を直ちに回収した。,みせはけっかんのあるしょうひんをただちにかいしゅうした。,가게는 결함이 있는 상품을 즉시 회수했다.
怪獣,かいじゅう,괴수,JLPT_1 JLPT,4hD6%x+z&p,巨大な怪獣が街を壊す映画を見た。,きょだいなかいじゅうがまちをこわすえいがをみた。,거대한 괴수가 도시를 파괴하는 영화를 봤다.
解消,かいしょう,해소,JLPT_1 JLPT,A!;RQhWQw4,運動を始めて肩こりが解消した。,うんどうをはじめてかたこりがかいしょうした。,운동을 시작한 뒤 어깨 결림이 해소되었다.
改善,かいぜん,개선,JLPT_1 JLPT,SwOe!1e$Hi,利用者の声を基にサービスを改善した。,りようしゃのこえをもとにさーびすをかいぜんした。,이용자의 의견을 바탕으로 서비스를 개선했다.
開拓,かいたく,개척,JLPT_1 JLPT,-KHn(I5s0P,祖父は荒れ地を開拓して農場を築いた。,そふはあれちをかいたくしてのうじょうをきずいた。,할아버지는 황무지를 개척해 농장을 일구었다.
概略,がいりゃく,"개략, 대략",JLPT_1 JLPT,Z?]VbRbQM.,担当者が計画の概略を簡潔に説明した。,たんとうしゃがけいかくのがいりゃくをかんけつにせつめいした。,담당자가 계획의 개략을 간결하게 설명했다.
省みる,かえりみる,"돌이켜보다, 반성하다",JLPT_1 JLPT,l/YYI%R%4<,過去の失敗を省みて方針を改めた。,かこのしっぱいをかえりみてほうしんをあらためた。,과거의 실패를 되돌아보고 방침을 고쳤다.
輝く,かがやく,빛나다,JLPT_1 JLPT,F)yoTPnaU~,朝日を浴びて雪山が金色に輝いた。,あさひをあびてゆきやまがきんいろにかがやいた。,아침 햇살을 받아 설산이 금빛으로 빛났다.
垣根,かきね,울타리,JLPT_1 JLPT,67^$dm%%0z,隣家との境に低い垣根を設けた。,りんかとのさかいにひくいかきねをもうけた。,이웃집과의 경계에 낮은 울타리를 설치했다.
画一的,かくいつてき,획일적,JLPT_1 JLPT,IaVPjO[zDu,画一的な教育では個性が育ちにくい。,かくいつてきなきょういくではこせいがそだちにくい。,획일적인 교육으로는 개성이 자라기 어렵다.
架空,かくう,가공,JLPT_1 JLPT,Dm[7+M}[8C,この小説は架空の王国を舞台にしている。,このしょうせつはかくうのおうこくをぶたいにしている。,이 소설은 가상의 왕국을 배경으로 한다.
格差,かくさ,격차,JLPT_1 JLPT,#G8t+9j=b4,都市と地方の所得格差が広がっている。,としとちほうのしょとくかくさがひろがっている。,도시와 지방의 소득 격차가 벌어지고 있다.
各種,かくしゅ,각종,JLPT_1 JLPT,#k`QaAs+/N,売り場には各種の文房具がそろっている。,うりばにはかくしゅのぶんぼうぐがそろっている。,매장에는 각종 문구류가 갖춰져 있다.
駆ける,かける,"(전속력으로) 달리다, 뛰다",JLPT_1 JLPT,Q3rRsZ[{#5,馬が草原を風のように駆けていった。,うまがそうげんをかぜのようにかけていった。,말이 초원을 바람처럼 달려갔다.
火災,かさい,화재,JLPT_1 JLPT,"b,&*oRT|%o",火災に備えて避難経路を確認した。,かさいにそなえてひなんけいろをかくにんした。,화재에 대비해 대피 경로를 확인했다.
賢い,かしこい,현명하다,JLPT_1 JLPT,+/fYLgM3.7,分からないと言える人はむしろ賢い。,わからないといえるひとはむしろかしこい。,모른다고 말할 수 있는 사람이 오히려 현명하다.
